date,cellvalue,n_cells
2002-08-29,5,10
2002-08-29,13,2
2002-08-29,NA,12
2002-09-06,5,1
2002-09-06,NA,23
2002-09-14,3,5
2002-09-14,NA,19
2002-09-22,3,1
2002-09-22,NA,23
2002-09-30,3,4
2002-09-30,13,7
2002-09-30,NA,13
2002-10-08,3,4
2002-10-08,13,1
2002-10-08,NA,19
2002-10-16,3,11
2002-10-16,7,1
2002-10-16,NA,12
2002-10-24,7,4
2002-10-24,NA,20
2002-11-01,3,3
2002-11-01,7,4
2002-11-01,15,4
2002-11-01,NA,13
2002-11-09,7,12
2002-11-09,NA,12
2002-11-17,7,12
2002-11-17,NA,12
2002-11-25,7,10
2002-11-25,NA,14
2002-12-03,7,11
2002-12-03,NA,13
2002-12-11,NA,24
2002-12-19,7,5
2002-12-19,NA,19
2002-12-27,NA,24
2003-01-01,7,12
2003-01-01,NA,12
2003-01-09,7,12
2003-01-09,NA,12
2003-01-17,7,12
2003-01-17,NA,12
2003-01-25,7,1
2003-01-25,NA,23
2003-02-02,7,12
2003-02-02,NA,12
2003-02-10,7,4
2003-02-10,NA,20
2003-02-18,NA,24
2003-02-26,7,12
2003-02-26,NA,12
2003-03-06,NA,24
2003-03-14,7,12
2003-03-14,NA,12
2003-03-22,NA,24
2003-03-30,NA,24
2003-04-07,NA,24
2003-04-15,NA,24
2003-04-23,NA,24
2003-05-01,7,12
2003-05-01,NA,12
2003-05-09,14,11
2003-05-09,21,1
2003-05-09,NA,12
2003-05-17,7,9
2003-05-17,15,1
2003-05-17,21,2
2003-05-17,NA,12
2003-05-25,7,12
2003-05-25,NA,12
2003-06-02,NA,24
2003-06-10,3,1
2003-06-10,7,3
2003-06-10,15,8
2003-06-10,NA,12
2003-06-18,NA,24
2003-06-26,NA,24
2003-07-04,3,4
2003-07-04,NA,20
2003-07-12,3,5
2003-07-12,13,1
2003-07-12,NA,18
2003-07-20,3,11
2003-07-20,13,1
2003-07-20,NA,12
2003-07-28,3,12
2003-07-28,NA,12
2003-08-05,3,12
2003-08-05,NA,12
2003-08-13,3,12
2003-08-13,NA,12
2003-08-21,3,5
2003-08-21,13,3
2003-08-21,NA,16
2003-08-29,5,4
2003-08-29,13,6
2003-08-29,NA,14
2003-09-06,3,8
2003-09-06,5,2
2003-09-06,13,2
2003-09-06,NA,12
2003-09-14,NA,24
2003-09-22,3,12
2003-09-22,NA,12
2003-09-30,3,2
2003-09-30,NA,22
2003-10-08,3,12
2003-10-08,NA,12
2003-10-16,3,3
2003-10-16,NA,21
2003-10-24,3,1
2003-10-24,13,2
2003-10-24,NA,21
2003-11-01,3,6
2003-11-01,NA,18
2003-11-09,3,5
2003-11-09,7,3
2003-11-09,NA,16
2003-11-17,7,11
2003-11-17,NA,13
2003-11-25,7,10
2003-11-25,NA,14
2003-12-03,3,8
2003-12-03,7,4
2003-12-03,NA,12
2003-12-11,7,12
2003-12-11,NA,12
2003-12-19,7,7
2003-12-19,11,2
2003-12-19,NA,15
2003-12-27,3,5
2003-12-27,7,7
2003-12-27,NA,12
2004-01-01,NA,24
2004-01-09,7,7
2004-01-09,NA,17
2004-01-17,NA,24
2004-01-25,3,2
2004-01-25,7,4
2004-01-25,15,2
2004-01-25,NA,16
2004-02-02,3,11
2004-02-02,7,1
2004-02-02,NA,12
2004-02-10,NA,24
2004-02-18,7,2
2004-02-18,NA,22
2004-02-26,3,1
2004-02-26,NA,23
2004-03-05,7,12
2004-03-05,NA,12
2004-03-13,3,4
2004-03-13,7,4
2004-03-13,NA,16
2004-03-21,NA,24
2004-03-29,3,11
2004-03-29,NA,13
2004-04-06,7,8
2004-04-06,NA,16
2004-04-14,NA,24
2004-04-22,3,1
2004-04-22,7,11
2004-04-22,NA,12
2004-04-30,3,1
2004-04-30,7,3
2004-04-30,NA,20
2004-05-08,3,10
2004-05-08,13,1
2004-05-08,17,1
2004-05-08,NA,12
2004-05-16,3,2
2004-05-16,13,10
2004-05-16,NA,12
2004-05-24,3,7
2004-05-24,13,2
2004-05-24,NA,15
2004-06-01,3,3
2004-06-01,13,2
2004-06-01,NA,19
2004-06-09,3,2
2004-06-09,13,8
2004-06-09,NA,14
2004-06-17,3,11
2004-06-17,13,1
2004-06-17,NA,12
2004-06-25,3,1
2004-06-25,13,9
2004-06-25,17,2
2004-06-25,NA,12
2004-07-03,3,4
2004-07-03,13,8
2004-07-03,NA,12
2004-07-11,3,1
2004-07-11,13,10
2004-07-11,NA,13
2004-07-19,NA,24
2004-07-27,3,5
2004-07-27,5,2
2004-07-27,13,4
2004-07-27,NA,13
2004-08-04,5,4
2004-08-04,13,2
2004-08-04,NA,18
2004-08-12,3,7
2004-08-12,5,4
2004-08-12,13,1
2004-08-12,NA,12
2004-08-20,3,3
2004-08-20,5,1
2004-08-20,13,1
2004-08-20,NA,19
2004-08-28,3,4
2004-08-28,5,1
2004-08-28,13,7
2004-08-28,NA,12
2004-09-05,3,2
2004-09-05,5,10
2004-09-05,NA,12
2004-09-13,5,12
2004-09-13,NA,12
2004-09-21,13,3
2004-09-21,NA,21
2004-09-29,5,6
2004-09-29,13,2
2004-09-29,NA,16
2004-10-07,NA,24
2004-10-15,3,4
2004-10-15,13,5
2004-10-15,NA,15
2004-10-23,NA,24
2004-10-31,3,12
2004-10-31,NA,12
2004-11-08,3,4
2004-11-08,NA,20
2004-11-16,3,11
2004-11-16,NA,13
2004-11-24,3,8
2004-11-24,15,2
2004-11-24,NA,14
2004-12-02,NA,24
2004-12-10,3,1
2004-12-10,NA,23
2004-12-18,NA,24
2004-12-26,3,4
2004-12-26,7,4
2004-12-26,NA,16
2005-01-01,7,12
2005-01-01,NA,12
2005-01-09,7,12
2005-01-09,NA,12
2005-01-17,7,2
2005-01-17,15,1
2005-01-17,NA,21
2005-01-25,7,12
2005-01-25,NA,12
2005-02-02,7,7
2005-02-02,NA,17
2005-02-10,7,12
2005-02-10,NA,12
2005-02-18,7,2
2005-02-18,NA,22
2005-02-26,NA,24
2005-03-06,7,10
2005-03-06,15,1
2005-03-06,NA,13
2005-03-14,3,3
2005-03-14,NA,21
2005-03-22,NA,24
2005-03-30,7,12
2005-03-30,NA,12
2005-04-07,NA,24
2005-04-15,3,1
2005-04-15,7,11
2005-04-15,NA,12
2005-04-23,3,3
2005-04-23,13,6
2005-04-23,NA,15
2005-05-01,NA,24
2005-05-09,3,12
2005-05-09,NA,12
2005-05-17,3,11
2005-05-17,13,1
2005-05-17,NA,12
2005-05-25,3,11
2005-05-25,13,1
2005-05-25,NA,12
2005-06-02,3,12
2005-06-02,NA,12
2005-06-10,NA,24
2005-06-18,3,2
2005-06-18,13,10
2005-06-18,NA,12
2005-06-26,13,10
2005-06-26,NA,14
2005-07-04,3,3
2005-07-04,13,9
2005-07-04,NA,12
2005-07-12,NA,24
2005-07-20,3,3
2005-07-20,5,1
2005-07-20,13,4
2005-07-20,NA,16
2005-07-28,13,12
2005-07-28,NA,12
2005-08-05,3,6
2005-08-05,13,2
2005-08-05,NA,16
2005-08-13,3,7
2005-08-13,13,5
2005-08-13,NA,12
2005-08-21,3,5
2005-08-21,5,6
2005-08-21,13,1
2005-08-21,NA,12
2005-08-29,3,3
2005-08-29,5,2
2005-08-29,13,7
2005-08-29,NA,12
2005-09-06,3,12
2005-09-06,NA,12
2005-09-14,3,3
2005-09-14,13,4
2005-09-14,NA,17
2005-09-22,3,5
2005-09-22,13,6
2005-09-22,NA,13
2005-09-30,3,4
2005-09-30,5,6
2005-09-30,13,2
2005-09-30,NA,12
2005-10-08,3,1
2005-10-08,NA,23
2005-10-16,3,6
2005-10-16,13,2
